mail-address;keyword1;keyword2;keyword3;keyword4;keyword5;keyword6;keyword7;keyword8;keyword9;keyword10;keyword11;keyword12;keyword13;keyword14;keyword15;keyword16;keyword17;keyword18
hachi@msn.com;Myah Haney;(753) 563-8939;male;Lieber;Sehr geehrter Herr;416.577;;;;;;;;;;;;
danny@hotmail.com;Jacob Carroll;(301) 701-6744;male;Lieber;Sehr geehrter Herr;858.717;;;;;;;;;;;;
fwitness@sbcglobal.net;Itzel Mooney;(227) 384-3980;female;Liebe;Sehr geehrte Frau;956.991;;;;;;;;;;;;
jfinke@mac.com;Dario Benton;(464) 586-0185;male;Lieber;Sehr geehrter Herr;980.183;;;;;;;;;;;;
ranasta@comcast.net;Morgan Day;(876) 985-8515;male;Lieber;Sehr geehrter Herr;139.193;;;;;;;;;;;;
jschauma@verizon.net;Killian Mckenzie;(820) 489-2195;male;Lieber;Sehr geehrter Herr;809.349;;;;;;;;;;;;
empathy@mac.com;Damaris Brock;(591) 656-6864;female;Liebe;Sehr geehrte Frau;544.234;;;;;;;;;;;;
timtroyr@aol.com;Lara Tapia;(411) 325-5294;female;Liebe;Sehr geehrte Frau;663.347;;;;;;;;;;;;
singh@hotmail.com;Xzavier Lucero;(870) 483-8208;male;Lieber;Sehr geehrter Herr;133.760;;;;;;;;;;;;
cliffski@att.net;Shaun Delgado;(717) 219-1647;male;Lieber;Sehr geehrter Herr;888.067;;;;;;;;;;;;
firstpr@yahoo.ca;Gustavo Morris;(475) 252-4444;male;Lieber;Sehr geehrter Herr;200.536;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
